# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_truncation	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_truncation	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_rare_amino_acid_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AC004542.5	ENSG00000276664	ENST00000610654	misc_RNA	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274
AC004542.6	ENSG00000276965	ENST00000616187	misc_RNA	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
AC004832.1	ENSG00000181123	ENST00000442126		1	3	0	696	0	0	0	0	0	0	0	0	0	320	0	0	0	75	0	85	0	0	0	1	3	0	0	0	0	0	0	220
AC004832.1	ENSG00000181123	ENST00000610156		1	3	0	696	0	0	0	0	0	0	0	0	0	320	0	0	0	311	0	69	0	0	0	1	3	0	0	0	0	0	0	0
AC004832.1	ENSG00000181123	ENST00000610737		1	4	0	695	0	0	0	0	0	0	0	0	0	320	0	0	0	266	0	114	0	0	0	1	4	0	0	0	0	0	0	0
AC004832.1	ENSG00000181123	ENST00000610936		3	9	0	870	0	0	0	0	0	0	0	0	0	327	0	0	0	280	0	93	0	0	0	3	9	0	0	0	0	0	0	182
AC004832.1	ENSG00000181123	ENST00000628773		0	0	0	132	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004832.3	ENSG00000249590	ENST00000439023	protein_coding	9	29	54	880	0	8	0	0	0	1	0	1	0	0	0	2	0	672	52	0	0	0	3	1	10	0	0	2	1	0	24	209
AC004832.3	ENSG00000249590	ENST00000439838	protein_coding	16	74	138	744	0	44	0	0	0	1	0	1	1	0	0	5	0	516	136	0	0	0	6	2	25	0	0	3	0	0	57	209
AC004832.3	ENSG00000249590	ENST00000454552	nonsense_mediated_decay	4	14	0	1031	0	77	0	0	0	0	0	0	0	0	0	0	0	650	0	114	0	0	3	1	14	0	0	0	0	0	0	208
AC004832.4	ENSG00000272689	ENST00000608952		0	0	0	265	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146
AC004832.5	ENSG00000273350	ENST00000608677		0	0	0	341	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227
AC004882.2	ENSG00000232396	ENST00000416352		0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
AC004882.2	ENSG00000232396	ENST00000451180		0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
AC004882.3	ENSG00000239446	ENST00000420180		0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84
AC004882.4	ENSG00000287967	ENST00000668996		0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	42
AC004997.1	ENSG00000248751	ENST00000330168	nonsense_mediated_decay	4	48	0	1350	0	241	0	0	0	0	0	0	0	0	0	0	0	660	0	412	0	0	3	1	48	0	0	0	0	0	0	89
AC004997.1	ENSG00000248751	ENST00000418047	nonsense_mediated_decay	2	40	0	1342	0	215	0	0	0	0	0	0	0	0	0	0	0	750	0	372	0	0	0	2	40	0	0	0	0	0	0	47
AC004997.1	ENSG00000248751	ENST00000434291	protein_coding	17	151	219	782	0	30	0	0	0	0	0	1	0	0	0	11	0	735	218	0	0	0	0	2	38	0	0	4	0	0	123	47
AC004997.1	ENSG00000248751	ENST00000434987	nonsense_mediated_decay	3	45	0	1334	0	215	0	0	0	0	0	0	0	0	0	0	0	748	0	374	0	0	1	2	45	0	0	0	0	0	0	45
AC004997.1	ENSG00000248751	ENST00000447976	nonsense_mediated_decay	3	42	0	1353	0	229	0	0	0	0	0	0	0	0	0	0	0	736	0	386	0	0	1	2	42	0	0	0	0	0	0	47
AC005005.3	ENSG00000273387	ENST00000609017		0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	294
AC005006.1	ENSG00000223831	ENST00000432130		0	0	0	420	0	0	0	0	0	0	0	0	0	310	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005300.1	ENSG00000236325	ENST00000428401	processed_pseudogene	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230
AC005529.1	ENSG00000234208	ENST00000411969		0	0	0	1051	0	0	0	0	0	0	0	0	0	132	0	0	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	127
AC006547.1	ENSG00000236540	ENST00000415503		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000595864		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000596334		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000598339		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000600617		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000600937		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000601746		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000608610		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000609191		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000609644		0	0	0	217	0	0	0	0	0	0	0	0	0	76	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.1	ENSG00000236540	ENST00000628442		0	0	0	354	0	0	0	0	0	0	0	0	0	137	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC006547.2	ENSG00000243762	ENST00000412713		0	0	0	1449	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1084
AC006547.3	ENSG00000268292	ENST00000600090		0	1	0	216	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	45	0	0	0	0	1	0	0	0	0	0	0	0
AC006548.2	ENSG00000270226	ENST00000605217	processed_pseudogene	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110
AC006946.1	ENSG00000235328	ENST00000429106	processed_pseudogene	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204
AC006946.3	ENSG00000273442	ENST00000609791		0	0	0	136	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007308.1	ENSG00000272600	ENST00000608856		0	0	0	83	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007326.4	ENSG00000283809	ENST00000638240	protein_coding	1	6	9	101	0	0	0	0	0	0	0	0	0	0	0	0	0	103	9	0	0	0	0	1	3	0	0	0	0	0	5	0
AC007326.5	ENSG00000284294	ENST00000638287	retained_intron	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC007326.5	ENSG00000284294	ENST00000640084		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC007663.1	ENSG00000161132	ENST00000438948	unprocessed_pseudogene	0	0	0	219	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007663.3	ENSG00000273139	ENST00000609632		0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230
AC007663.4	ENSG00000273343	ENST00000608275		0	0	0	384	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165
AC007666.1	ENSG00000236754	ENST00000443935		5	5	0	932	0	0	0	0	0	0	0	0	0	111	0	0	0	506	0	117	0	0	0	5	6	0	0	0	0	0	0	209
AC007666.1	ENSG00000236754	ENST00000611039		5	5	0	932	0	0	0	0	0	0	0	0	0	111	0	0	0	506	0	82	0	0	0	5	6	0	0	0	0	0	0	244
AC007666.2	ENSG00000286195	ENST00000651475		2	7	0	1564	0	0	0	0	0	0	0	0	0	0	0	0	0	1516	0	56	0	0	1	1	7	0	0	0	0	0	0	1
AC007731.2	ENSG00000215493	ENST00000426448	processed_pseudogene	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102
AC007731.4	ENSG00000236003	ENST00000420225		1	2	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	55	0	0	0	1	2	0	0	0	0	0	0	19
AC007731.5	ENSG00000277971	ENST00000429594	nonsense_mediated_decay	4	19	0	1457	0	113	0	0	0	0	0	0	0	436	0	0	0	731	0	169	0	0	0	4	20	0	0	0	0	0	0	31
AC007731.6	ENSG00000287446	ENST00000667786		0	0	0	1314	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	39	0	0	0	0	0	0	0	0	0	0	0	1121
AC008079.1	ENSG00000280007	ENST00000623543		0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	0	0	0	0	0	0	0	0	17
AC016026.1	ENSG00000093100	ENST00000476405	retained_intron	1	17	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	198	0	0	0	1	17	0	0	0	0	0	0	56
AC016026.2	ENSG00000286990	ENST00000657505		0	0	0	55	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC016027.1	ENSG00000225335	ENST00000426483		0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272
AC016027.1	ENSG00000225335	ENST00000607927		0	0	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	230
AC016027.1	ENSG00000225335	ENST00000622035		0	0	0	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	220
AC016027.5	ENSG00000236890	ENST00000427227	processed_pseudogene	0	0	0	447	0	0	0	0	0	0	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175
AC023490.1	ENSG00000274625	ENST00000614296	scaRNA	0	0	0	396	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023490.2	ENSG00000275319	ENST00000618466	misc_RNA	0	0	0	243	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC023490.3	ENSG00000275362	ENST00000611762	misc_RNA	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
AC023490.5	ENSG00000277690	ENST00000359859	processed_pseudogene	0	0	0	381	0	0	0	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC245452.1	ENSG00000224086	ENST00000458178		0	1	0	2198	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	1882	0	0	0	0	1	0	0	0	0	0	0	282
AC245452.1	ENSG00000224086	ENST00000653280		0	1	0	578	0	0	0	0	0	0	0	0	0	107	0	0	0	35	0	165	0	0	0	0	1	0	0	0	0	0	0	272
AC246793.1	ENSG00000220891	ENST00000407120		0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79
AC253536.1	ENSG00000224205	ENST00000437021	transcribed_unprocessed_pseudogene	0	0	0	137	0	0	0	0	0	0	0	0	0	55	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC253536.2	ENSG00000228039	ENST00000423307	processed_pseudogene	0	0	0	176	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
AC253536.3	ENSG00000232545	ENST00000444093		0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
AC253536.5	ENSG00000250470	ENST00000506097	unprocessed_pseudogene	0	0	0	92	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37
AC253536.6	ENSG00000272787	ENST00000609736		0	2	0	518	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	217	0	0	0	0	2	0	0	0	0	0	0	48
AC253536.7	ENSG00000285762	ENST00000404092	protein_coding	4	8	12	578	0	47	0	0	0	0	0	0	0	367	0	1	0	89	12	0	0	0	1	0	3	0	0	1	1	1	5	78
AC254562.1	ENSG00000227370	ENST00000417586	processed_pseudogene	0	0	0	1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1007
ACO2	ENSG00000100412	ENST00000216254	protein_coding	10	218	233	1575	0	36	0	0	15	0	0	3	0	449	0	2	0	909	230	0	0	0	2	1	47	0	0	5	0	0	181	206
ACO2	ENSG00000100412	ENST00000396512	protein_coding	11	226	247	1552	0	36	0	0	10	0	0	3	0	449	0	2	0	887	244	0	0	0	2	1	50	0	0	6	0	0	188	211
ACO2	ENSG00000100412	ENST00000466237	processed_transcript	0	8	0	888	0	0	0	0	0	0	0	0	0	510	0	0	0	170	0	73	0	0	0	0	8	0	0	0	0	0	0	143
ACO2	ENSG00000100412	ENST00000471094	processed_transcript	0	2	0	598	0	0	0	0	0	0	0	0	0	166	0	0	0	121	0	87	0	0	0	0	2	0	0	0	0	0	0	226
ACO2	ENSG00000100412	ENST00000478010	retained_intron	0	5	0	462	0	0	0	0	0	0	0	0	0	191	0	0	0	137	0	85	0	0	0	0	5	0	0	0	0	0	0	54
ACO2	ENSG00000100412	ENST00000481310	processed_transcript	0	4	0	381	0	0	0	0	0	0	0	0	0	189	0	0	0	79	0	31	0	0	0	0	4	0	0	0	0	0	0	86
ACO2	ENSG00000100412	ENST00000482208	retained_intron	0	2	0	274	0	0	0	0	0	0	0	0	0	142	0	0	0	40	0	65	0	0	0	0	2	0	0	0	0	0	0	29
ACR	ENSG00000100312	ENST00000216139	protein_coding	14	116	186	199	0	10	1	0	7	1	0	0	0	0	0	6	0	178	185	0	0	0	0	1	19	1	0	7	0	0	103	17
ACR	ENSG00000100312	ENST00000527761	processed_transcript	0	3	0	450	0	0	0	0	0	0	0	0	0	66	0	0	0	19	0	121	0	0	0	0	3	0	0	0	0	0	0	247
ACR	ENSG00000100312	ENST00000529621	protein_coding	5	50	70	389	0	0	0	0	2	1	0	0	0	245	0	3	0	126	69	0	0	0	0	1	10	1	0	1	0	0	45	22
ACR	ENSG00000100312	ENST00000533930	retained_intron	1	6	0	507	0	0	0	0	0	0	0	0	0	245	0	0	0	96	0	159	0	0	0	1	7	0	0	0	0	0	0	15
ADA2	ENSG00000093072	ENST00000262607	protein_coding	19	127	257	506	0	19	2	0	27	0	0	0	1	0	0	8	0	488	256	0	0	0	3	2	37	1	0	6	0	0	102	0
ADA2	ENSG00000093072	ENST00000330232	protein_coding	11	67	107	473	0	19	6	0	60	0	0	0	1	0	0	4	0	300	106	0	0	0	2	1	25	1	0	4	0	0	43	115
ADA2	ENSG00000093072	ENST00000399837	protein_coding	19	129	257	505	0	19	2	0	17	0	0	0	1	0	0	8	0	498	256	0	0	0	3	2	39	1	0	6	0	0	102	0
ADA2	ENSG00000093072	ENST00000399839	protein_coding	20	127	257	505	0	19	1	0	5	0	0	0	1	0	0	8	0	510	256	0	0	0	4	2	38	1	0	6	0	0	102	0
ADA2	ENSG00000093072	ENST00000441548	protein_coding	7	40	89	207	0	0	2	0	17	0	0	0	0	146	0	4	0	47	89	0	0	0	1	0	4	1	0	1	0	0	35	0
ADA2	ENSG00000093072	ENST00000449907	protein_coding	21	121	231	538	0	19	2	0	16	0	0	0	1	0	0	8	0	537	230	0	0	0	4	2	44	2	0	6	0	0	89	0
ADA2	ENSG00000093072	ENST00000469063	processed_transcript	1	4	0	444	0	0	0	0	0	0	0	0	0	167	0	0	0	62	0	90	0	0	1	0	4	0	0	0	0	0	0	130
ADA2	ENSG00000093072	ENST00000480276	retained_intron	1	5	0	408	0	0	0	0	0	0	0	0	0	100	0	0	0	76	0	54	0	0	0	1	5	0	0	0	0	0	0	184
ADA2	ENSG00000093072	ENST00000543038	protein_coding	7	42	99	193	0	0	1	0	6	0	0	0	0	134	0	4	0	58	99	0	0	0	1	0	5	1	0	1	0	0	37	0
ADA2	ENSG00000093072	ENST00000610390	protein_coding	17	94	174	625	0	19	2	0	9	0	0	0	1	0	0	5	0	625	173	0	0	0	3	2	37	2	0	6	0	0	68	0
